Bean Origin,Bean Origin Country Name
Bolivia,Plurinational State of Bolivia
Peru,Peru
Brazil,Brazil
Burma,Myanmar
Colombia,Colombia
Ecuador,Ecuador
Madagascar,Madagascar
Panama,Panama
Papua New Guinea,Papua New Guinea
Venezuela,Venezuela (Bolivarian Republic of)
Cuba,Cuba
Togo,Togo
Sao Tome,Sao Tome and Principe
Fiji,Fiji
Mexico,Mexico
Indonesia,Indonesia
Trinidad,Trinidad and Tobago
Vietnam,Viet Nam
Nicaragua,Nicaragua
Tanzania,"Tanzania, United Republic of"
Dominican Republic,Dominican Republic
Ghana,Ghana
Belize,Belize
Grenada,Grenada
Jamaica,Jamaica
Blend,blend
Guatemala,Guatemala
Costa Rica,Costa Rica
Honduras,Honduras
Haiti,Haiti
India,India
Congo,Congo
Philippines,Philippines
Malaysia,Malaysia
"Dominican Rep., Bali",Dominican Republic
Carribean,Trinidad and Tobago
Sri Lanka,Sri Lanka
Ivory Coast,Côte d'Ivoire
Gabon,Gabon
"Venez,Africa,Brasil,Peru,Mex",Venezuela (Bolivarian Republic of)
Puerto Rico,Puerto Rico
Uganda,Uganda
Martinique,Martinique
Sao Tome & Principe,Sao Tome and Principe
Vanuatu,Vanuatu
Australia,Australia
"Nicaragua, Madagascar",Nicaragua
Liberia,Liberia
"Ecuador, Costa Rica",Ecuador
West Africa,Benin
Solomon Islands,Solomon Islands
Hawaii,United States of America
Nigeria,Nigeria
St. Lucia,Saint Lucia
"Cost Rica, Ven",Costa Rica
"Peru, Madagascar",Peru
"Venezuela, Trinidad",Venezuela (Bolivarian Republic of)
"Trinidad, Tobago",Trinidad and Tobago
"Ven, Trinidad, Ecuador",Venezuela (Bolivarian Republic of)
"South America, Africa",Venezuela (Bolivarian Republic of)
"Ven., Indonesia, Ecuad.",Venezuela (Bolivarian Republic of)
"Africa, Carribean, C. Am.",Trinidad and Tobago
Tobago,Trinidad and Tobago
Trinidad-Tobago,Trinidad and Tobago
"Peru, Ecuador, Venezuela",Peru
"Venezuela, Dom. Rep.",Venezuela (Bolivarian Republic of)
"Colombia, Ecuador",Colombia
"Peru, Mad., Dom. Rep.",Peru
"Peru, Belize",Peru
"PNG, Vanuatu, Mad",Vanuatu
El Salvador,El Salvador
South America,Venezuela (Bolivarian Republic of)
Samoa,Samoa
"Ghana, Domin. Rep",Ghana
"Trinidad, Ecuador",Trinidad and Tobago
"Venezuela, Java",Venezuela (Bolivarian Republic of)
Venezuela/ Ghana,Venezuela (Bolivarian Republic of)
Cameroon,Cameroon
"Indonesia, Ghana",Indonesia
"Venezuela, Ghana",Venezuela (Bolivarian Republic of)
"Peru(SMartin,Pangoa,nacional)",Peru
Principe,Sao Tome and Principe
Central and S. America,Venezuela (Bolivarian Republic of)
Ghana & Madagascar,Ghana
Carribean(DR/Jam/Tri),Jamaica
"Ven., Trinidad, Mad.",Venezuela (Bolivarian Republic of)
"DR, Ecuador, Peru",Dominican Republic
"Ven, Bolivia, D.R.",Venezuela (Bolivarian Republic of)
"Dom. Rep., Madagascar",Dominican Republic
"Gre., PNG, Haw., Haiti, Mad",Haiti
"Mad., Java, PNG",Madagascar
"Guat., D.R., Peru, Mad., PNG",Guatemala
"Peru, Dom. Rep",Peru
Madagascar & Ecuador,Madagascar
"Ven.,Ecu.,Peru,Nic.",Venezuela (Bolivarian Republic of)
Suriname,Suriname
"Peru, Ecuador",Peru
"Ecuador, Mad., PNG",Ecuador
"Ghana, Panama, Ecuador",Ghana
"Venezuela, Carribean",Venezuela (Bolivarian Republic of)
