,Company,Bar Name,RefNo,Review Date,Cocoa %,Rating,Bean Type,Company Country Name,Bean Origin Country Name,Ethical,Country Lat,Country Lng,Country Abbr,Origin Lat,Origin Lng,Origin Abbr
0,A. Morin,Bolivia,797,2012,70%,3.5,,France,Plurinational State of Bolivia,no,46.227638,2.213749,FR,-16.290154,-63.58865299999999,BO
1,A. Morin,Peru,797,2012,63%,3.75,,France,Peru,no,46.227638,2.213749,FR,-9.189967,-75.015152,PE
2,A. Morin,Brazil,1011,2013,70%,3.25,,France,Brazil,no,46.227638,2.213749,FR,-14.235004,-51.92528,BR
3,A. Morin,Birmanie,1015,2013,70%,3.0,,France,Myanmar,no,46.227638,2.213749,FR,21.916221,95.955974,MM
4,A. Morin,Colombie,1015,2013,70%,2.75,,France,Colombia,no,46.227638,2.213749,FR,4.570868,-74.297333,CO
5,A. Morin,Equateur,1011,2013,70%,3.75,,France,Ecuador,no,46.227638,2.213749,FR,-1.831239,-78.18340599999999,EC
6,A. Morin,Madagascar,1011,2013,70%,3.0,Criollo,France,Madagascar,no,46.227638,2.213749,FR,-18.766947,46.869107,MG
7,A. Morin,Panama,1011,2013,70%,2.75,,France,Panama,no,46.227638,2.213749,FR,8.537981,-80.782127,PA
8,A. Morin,Papua New Guinea,1015,2013,70%,3.25,,France,Papua New Guinea,no,46.227638,2.213749,FR,-6.314992999999999,143.95555,PG
9,A. Morin,Chanchamayo Province,1019,2013,63%,4.0,,France,Peru,no,46.227638,2.213749,FR,-9.189967,-75.015152,PE
10,A. Morin,Chanchamayo Province,1019,2013,70%,3.5,,France,Peru,no,46.227638,2.213749,FR,-9.189967,-75.015152,PE
11,A. Morin,Piura,1019,2013,70%,3.25,,France,Peru,no,46.227638,2.213749,FR,-9.189967,-75.015152,PE
12,A. Morin,Chuao,1015,2013,70%,4.0,Trinitario,France,Venezuela (Bolivarian Republic of),no,46.227638,2.213749,FR,6.42375,-66.58973,VE
13,A. Morin,Cuba,1315,2014,70%,3.5,,France,Cuba,no,46.227638,2.213749,FR,21.521757,-77.781167,CU
14,A. Morin,Pablino,1319,2014,70%,4.0,,France,Peru,no,46.227638,2.213749,FR,-9.189967,-75.015152,PE
15,A. Morin,Puerto Cabello,1319,2014,70%,3.75,Criollo,France,Venezuela (Bolivarian Republic of),no,46.227638,2.213749,FR,6.42375,-66.58973,VE
16,A. Morin,Sur del Lago,1315,2014,70%,3.5,Criollo,France,Venezuela (Bolivarian Republic of),no,46.227638,2.213749,FR,6.42375,-66.58973,VE
17,A. Morin,Carenero,1315,2014,70%,2.75,Criollo,France,Venezuela (Bolivarian Republic of),no,46.227638,2.213749,FR,6.42375,-66.58973,VE
18,A. Morin,Quilla,1704,2015,70%,3.5,,France,Peru,no,46.227638,2.213749,FR,-9.189967,-75.015152,PE
19,A. Morin,Akata,1680,2015,70%,3.5,,France,Togo,no,46.227638,2.213749,FR,8.619543,0.824782,TG
20,A. Morin,Atsane,1676,2015,70%,3.0,,France,Togo,no,46.227638,2.213749,FR,8.619543,0.824782,TG
21,A. Morin,Kpime,1676,2015,70%,2.75,,France,Togo,no,46.227638,2.213749,FR,8.619543,0.824782,TG
22,A. Morin,Agua Grande,1876,2016,63%,3.75,,France,Sao Tome and Principe,no,46.227638,2.213749,FR,0.18636,6.613080999999999,ST
23,Acalli,"Chulucanas, El Platanal",1462,2015,70%,3.75,,United States of America,Peru,no,37.09024,-95.712891,US,-9.189967,-75.015152,PE
24,Acalli,"Tumbes, Norandino",1470,2015,70%,3.75,Criollo,United States of America,Peru,no,37.09024,-95.712891,US,-9.189967,-75.015152,PE
