,Company,Bar Name,RefNo,Review Date,Cocoa %,Rating,Bean Type,Company Country Name,Bean Origin Country Name,Ethical,Country Lat,Country Lng,Country Abbr,Origin Lat,Origin Lng,Origin Abbr,Origin Cont
0,A. Morin,Bolivia,797,2012,70%,3.5,,France,Plurinational State of Bolivia,no,46.227638,2.213749,FR,-16.290154,-63.58865299999999,BO,SA
1,A. Morin,Peru,797,2012,63%,3.75,,France,Peru,no,46.227638,2.213749,FR,-9.189967,-75.015152,PE,SA
2,A. Morin,Brazil,1011,2013,70%,3.25,,France,Brazil,no,46.227638,2.213749,FR,-14.235004,-51.92528,BR,SA
3,A. Morin,Birmanie,1015,2013,70%,3.0,,France,Myanmar,no,46.227638,2.213749,FR,21.916221,95.955974,MM,AS
4,A. Morin,Colombie,1015,2013,70%,2.75,,France,Colombia,no,46.227638,2.213749,FR,4.570868,-74.297333,CO,SA
5,A. Morin,Equateur,1011,2013,70%,3.75,,France,Ecuador,no,46.227638,2.213749,FR,-1.831239,-78.18340599999999,EC,SA
6,A. Morin,Madagascar,1011,2013,70%,3.0,Criollo,France,Madagascar,no,46.227638,2.213749,FR,-18.766947,46.869107,MG,AF
7,A. Morin,Panama,1011,2013,70%,2.75,,France,Panama,no,46.227638,2.213749,FR,8.537981,-80.782127,PA,NA
8,A. Morin,Papua New Guinea,1015,2013,70%,3.25,,France,Papua New Guinea,no,46.227638,2.213749,FR,-6.314992999999999,143.95555,PG,OC
9,A. Morin,Chanchamayo Province,1019,2013,63%,4.0,,France,Peru,no,46.227638,2.213749,FR,-9.189967,-75.015152,PE,SA
10,A. Morin,Chanchamayo Province,1019,2013,70%,3.5,,France,Peru,no,46.227638,2.213749,FR,-9.189967,-75.015152,PE,SA
11,A. Morin,Piura,1019,2013,70%,3.25,,France,Peru,no,46.227638,2.213749,FR,-9.189967,-75.015152,PE,SA
12,A. Morin,Chuao,1015,2013,70%,4.0,Trinitario,France,Venezuela (Bolivarian Republic of),no,46.227638,2.213749,FR,6.42375,-66.58973,VE,SA
13,A. Morin,Cuba,1315,2014,70%,3.5,,France,Cuba,no,46.227638,2.213749,FR,21.521757,-77.781167,CU,NA
14,A. Morin,Pablino,1319,2014,70%,4.0,,France,Peru,no,46.227638,2.213749,FR,-9.189967,-75.015152,PE,SA
15,A. Morin,Puerto Cabello,1319,2014,70%,3.75,Criollo,France,Venezuela (Bolivarian Republic of),no,46.227638,2.213749,FR,6.42375,-66.58973,VE,SA
16,A. Morin,Sur del Lago,1315,2014,70%,3.5,Criollo,France,Venezuela (Bolivarian Republic of),no,46.227638,2.213749,FR,6.42375,-66.58973,VE,SA
